WARNING 2025-12-10 12:45:04,524 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:04,526 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:04,723 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:04,724 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:04,923 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:04,924 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:05,107 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:05,108 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:05,279 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:05,281 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:05,458 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:05,459 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:45:05,633 log 22104 12052 Bad Request: /api/graphql/
WARNING 2025-12-10 12:45:05,636 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 400 113
INFO 2025-12-10 12:45:11,855 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 200 219
INFO 2025-12-10 12:48:11,670 basehttp 22104 12052 "POST /api/graphql/ HTTP/1.1" 200 219
INFO 2025-12-10 12:59:10,464 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:11,199 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:11,808 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:20,655 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:20,814 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:21,306 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:21,661 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:21,861 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:22,085 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:22,268 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:22,700 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:23,129 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:23,965 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
WARNING 2025-12-10 12:59:27,907 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:27,908 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:59:28,569 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:28,570 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:59:28,872 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:28,874 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:59:29,081 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:29,082 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:59:29,248 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:29,250 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
WARNING 2025-12-10 12:59:29,386 log 22104 3700 Bad Request: /api/graphql/
WARNING 2025-12-10 12:59:29,388 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 400 113
INFO 2025-12-10 12:59:44,406 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:45,103 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:45,337 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:45,565 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:45,758 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:45,957 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:46,126 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:46,276 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:46,454 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:46,661 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 12:59:46,836 basehttp 22104 3700 "POST /api/graphql/ HTTP/1.1" 200 138
INFO 2025-12-10 13:00:29,375 autoreload 22104 17844 C:\Users\USER\outlinekerala\user_app\mutations.py changed, reloading.
INFO 2025-12-10 13:00:33,323 autoreload 20912 24544 Watching for file changes with StatReloader
